추천표시,stock_code,stock_name,current_price,corp_code,corp_name,report_nm,rcept_dt,confidence,fx_exposure_score,base_score,negative_score,final_score,export_hits,fx_hits,hedge_hits,foreign_debt_hits,import_cost_hits,status,document_status,reason,evidence_snippet
✅,005940,NH투자증권,31750.0,00120182,NH투자증권,분기보고서 (2026.03),20260514,A,80,0.0,0,150.0,249,45,442,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 294건 / 환헤지/파생상품 단서 442건 / 공시신뢰도 A,"매매, 인수도, 선물거래 등을 사업 목적으로 하고 있습니다. (2) 시장여건 1) 2026년 1분기 Review - 경제성장률: 2026년 1분기 국내 경제는 수출 중심으로 완만한 회복 흐름을 보였으나, 내수 부진이 지속되며 전반적인 성장세는 제한적인 수준에 머물렀습니다. 반도체 업황 개선에 따른 수출 증가가 경기 하방을"
✅,009450,경동나비엔,68100.0,00101488,경동나비엔,[기재정정]분기보고서 (2026.03),20260518,A,80,0.0,0,150.0,214,79,8,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: [기재정정]분기보고서 (2026.03) / 수출/해외·환율 단서 293건 / 환헤지/파생상품 단서 8건 / 공시신뢰도 A,"조 및 판매업2. 열연소 기구의 제조 및 판매업3. 냉난방 기기의 제조 및 판매업4. 신 재생에너지 관련 기기의 제조 및 설치, 판매업5. 설비 및 서비스업6. 수출입업7. 전문건설업1) 기계설비공사업2) 가스시설 시공업(1종)3) 난방시공업(1종)4) 전기공사업5) 정보통신공사업8. 부동산 임대업 및 매매 임대업9. 콜센타"
✅,027410,BGF,4105.0,00219097,BGF,분기보고서 (2026.03),20260515,A,80,0.0,0,150.0,63,70,42,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 133건 / 환헤지/파생상품 단서 42건 / 공시신뢰도 A,"지에프리테일 상품의 위탁관리 및 편의점 영업을 위한 상품의 공급 및 물류서비스 일체를 제공하고 있습니다.또한, 비지에프리테일 이외 외부 고객사에 제3자 물류 및 수출입 물류 대행서비스를 제공함으로써 전문 물류기업으로서 성장을 이어나가고 있습니다. [식품제조/유통 사업, (주)비지에프푸드] (주)비지에프푸드는 김밥, 샌드위치,"
✅,035420,NAVER,247000.0,00266961,NAVER,분기보고서 (2026.03),20260515,A,80,0.0,0,150.0,264,42,54,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 306건 / 환헤지/파생상품 단서 54건 / 공시신뢰도 A,"제공하고 있습니다. 네이버를 둘러싼 환경은 빠르게 변화 중이며, 이러한 변화를 새로운 도약의 기회로 삼아, 그 동안 회사의 성장을 견인해 왔던 혁신을 바탕으로 글로벌 시장과 신규사업에 대한 도전을 이어가고 있습니다. 또한, 네이버는 지속적인 성장을 목표로 기술, 서비스 등에 대한 선제적 투자를 진행하며, 핵심 사업의 경쟁력을"
✅,060980,HL홀딩스,46000.0,00299002,HL홀딩스,분기보고서 (2026.03),20260515,A,80,0.0,0,150.0,313,53,236,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 366건 / 환헤지/파생상품 단서 236건 / 공시신뢰도 A,"나. 생산 및 설비 해당사항 없습니다. 4. 매출 및 수주상황 가. 매출실적 (단위 : 백만원) 매출유형 품목 2026년 1분기 2025년 2024년 상품 - 수출 22,828 117,147 106,783 내수 188,670 776,056 832,056 합계 211,498 893,203 938,838 제품 - 수출 - -"
✅,078930,GS,72500.0,00500254,GS,분기보고서 (2026.03),20260515,A,80,0.0,0,150.0,412,53,168,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 465건 / 환헤지/파생상품 단서 168건 / 공시신뢰도 A,"하기 위해 지속적으로 투자 해왔습니다. 국내 1,963개의 주유소와 330개의 충전소를 통해 안정적인 석유제품의 공급에 힘쓰는 한편 매출의 70% 이상을 해외에 수출하며 약 50년 이상 국가경제 발전의 견인차 역할을 해 왔습니다.회사는 하루 80만배럴의 정제시설을 갖추고 상압잔사유 유동상촉매분해시설(RFCC), 감압경유 수첨"
✅,178920,PI첨단소재,23850.0,00767460,PI첨단소재,분기보고서 (2026.03),20260514,A,80,0.0,0,150.0,159,17,39,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 176건 / 환헤지/파생상품 단서 39건 / 공시신뢰도 A,"출실적 (단위 : ton, 백만원, 천USD) 매출 유형 품목 제19기 1분기 제18기 제17기 수량 금액 수량 금액 수량 금액 제 품 PI(Polyimide) 수출 636 42,124 2,797 178,070 2,491 161,399 $28,635 $125,370 $118,074 내수 239 21,924 1,042 85,3"
✅,204320,HL만도,65000.0,01042775,HL만도,분기보고서 (2026.03),20260515,A,80,0.0,0,150.0,383,38,104,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 421건 / 환헤지/파생상품 단서 104건 / 공시신뢰도 A,"납품하는 두가지가 있습니다. 모듈업체 납품의 경우 설계 및 개발에 관한 사항은 OEM 주관으로 하며 모듈업체는 모듈화 및 물류만을 담당합니다. 국내에서 해외로의 수출의 경우, 현지 해외법인을 거쳐 공급 하거나 수출운송을 통하여 직접 납품합니다. 해외 법인의 납품경로도 해외법인에서 생산한 제품을 OEM에 직납하거나 현지 모듈업"
✅,395400,SK리츠,5410.0,01535150,SK리츠,사업보고서 (2026.03),20260610,A,80,0.0,0,150.0,32,55,66,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 사업보고서 (2026.03) / 수출/해외·환율 단서 87건 / 환헤지/파생상품 단서 66건 / 공시신뢰도 A,27207 강원도시가스 140111-0002010 경산맑은물길 120111-0701848 곡성환경 200111-0187330 그린화순 160111-0199459 글로벌에이아이플랫폼코퍼레이션코리아 131111-0710903 글로와이드 130111-1215523 나래에너지서비스 110111-4926006 내트럭 110111-322
✅,002360,SH에너지화학,2030.0,00136457,SH에너지화학,분기보고서 (2026.03),20260515,A,79,0.0,0,149.0,45,36,7,0,0,OK,OK_ZIP,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 81건 / 환헤지/파생상품 단서 7건 / 공시신뢰도 A,"운영의 명확화- 상법 개정에 따른 규정 정비 나. 사업목적 현황 구 분 사업목적 사업영위 여부 1 합성수지 및 기타 프라스틱물질 제조, 가공 및 판매업 영위 2 수출입업 및 상품의 도소매업 영위 3 물품매도 확약서 발행업 영위 4 유기 및 무기화학 제품 제조, 가공 및 판매업 영위 5 생명공학과 관련한 제품의 제조, 가공 및"
