ticker,name,market,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,target_period_key,fetched_at_kst
000080,하이트진로,KOSPI,00150244,하이트진로,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,2,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1209421276137.0,120874125738.0,76362408692.0,3260144360272.0,2064403460411.0,1195740899861.0,1259331192470.0,127184863200.0,70913878990.0,-3.96,-4.96,7.68,9.99,172.65,12.77,흑자지속,1041484123350.0,70133611.0,2026-09-18,2177.63,17049.47,6.82,0.87,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-19T10:57:05+09:00
000140,하이트진로홀딩스,KOSPI,00148993,하이트진로홀딩스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1203571929866.0,120038618527.0,65948106218.0,3892467866742.0,2707009667623.0,1185458199119.0,1252538772259.0,132089976996.0,61768277734.0,-3.91,-9.12,6.77,9.97,228.35,11.13,흑자지속,182637240550.0,23206765.0,2026-09-16,5683.52,51082.44,1.38,0.15,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-17T10:39:42+09:00
000150,두산,KOSPI,00117212,두산,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,4,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,10617501000000.0,830730000000.0,637116000000.0,36340235000000.0,22432638000000.0,13907597000000.0,9617666000000.0,552857000000.0,244460000000.0,10.4,50.26,160.62,7.82,161.3,9.16,흑자지속,20873853315000.0,16193835.0,2026-09-15,78686.24,858820.47,16.38,1.5,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-16T10:42:39+09:00
000227,유유제약2우B,KOSPI,,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,0,,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",2026_11012_corp-candidate-name-match-v2,2026-09-19T10:57:04+09:00
000270,기아,KOSPI,00106641,기아,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,62538936000000.0,4833650000000.0,4157949000000.0,106829374000000.0,42140138000000.0,64689236000000.0,57367145000000.0,5773354000000.0,4660812000000.0,9.02,-16.28,-10.79,7.73,65.14,12.86,흑자지속,53564663325600.0,390412998.0,2026-08-18,21300.26,165694.37,6.44,0.83,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-08-19T09:00:34+09:00
000320,노루홀딩스,KOSPI,00113508,노루홀딩스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,655023841347.0,47066091404.0,42202203403.0,1393664421779.0,547265748791.0,846398672988.0,637748229447.0,35886740163.0,25762275218.0,2.71,31.15,63.81,7.19,64.66,9.97,흑자지속,215316646200.0,13291151.0,2026-09-16,6350.42,63681.37,2.55,0.25,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-17T10:39:42+09:00
000480,CR홀딩스,KOSPI,,,,MISMATCH,KRX 종목명=CR홀딩스; OpenDART 후보=시알홀딩스,1,NO_NAME_MATCH,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",2026_11012_corp-candidate-name-match-v2,2026-09-19T10:57:04+09:00
000490,대동,KOSPI,00109286,대동,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,844812444575.0,47254899638.0,15288435961.0,2592521315421.0,1824606939328.0,767914376093.0,801351914912.0,46815759988.0,15922270453.0,5.42,0.94,-3.98,5.59,237.61,3.98,흑자지속,226290890250.0,28826865.0,2026-09-17,1060.71,26638.84,7.4,0.29,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-18T10:36:35+09:00
000500,가온전선,KOSPI,00104768,가온전선,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1632966571000.0,63966384000.0,42536391000.0,1661211467000.0,1130963256000.0,530248211000.0,1282586959000.0,45117109000.0,29652150000.0,27.32,41.78,43.45,3.92,213.29,16.04,흑자지속,6253297470000.0,29777607.0,2026-08-31,2856.94,17806.95,73.51,11.79,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-01T11:10:44+09:00
000540,흥국화재,KOSPI,00103176,흥국화재,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,2,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,175646000000.0,33365000000.0,26167000000.0,11409047000000.0,10312612000000.0,1096435000000.0,162792000000.0,163994000000.0,132343000000.0,7.9,-79.65,-80.23,19.0,940.56,4.77,흑자지속,220994698800.0,64242645.0,2026-08-18,814.63,17067.09,4.22,0.2,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-08-19T09:00:34+09:00
