rank,recommend_flag,code,name,market,asof_date,close,return_1m_pct,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
1,⚠️,003010,혜인,KOSPI,2026-08-26,"12,400 🔴",159.69,"10,940원~11,540원","12,010원~12,370원",약 ±288원 내외 (±4.59%),2.0,10800.0,3925.0,12900.0,228.66,370453,12649895206,False,True,54.0,"1개월 급등 159.7%; 상단권 86.2%; 3개월 변동폭 과대 228.7%; 소형주; 현재가 급변, 매수·익절 판단 재점검(+6.35%)",8405692100,KRW,FALSE,2026 반기보고서,OK,00165343,혜인,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,104516938541.0,10064432462.0,261537243303.0,125754055196.0,135783188107.0,132574882602.0,5296342144.0,6297904030.0,-21.16,58.71,59.81,8.04,92.61,14.82,흑자지속,140857236760.0,12712747.0,2026-08-18,1583.36,10680.87,7.0,1.04,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260824,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-08-27T18:51:32+09:00
2,✅,006110,삼아알미늄,KOSPI,2026-08-26,"64,400 🔴",81.48,"51,000원~57,900원","65,700원~71,400원","약 ±3,140원 내외 (±6.47%)",2.4,49400.0,25750.0,100100.0,288.74,76906,10071883938,False,True,66.0,"1개월 급등 81.5%; 매수위치 중립 44.5%; 고변동 6.47%; 3개월 변동폭 과대 288.7%; 현재가 급변, 매수·익절 판단 재점검(+9.52%)",-2641423371,KRW,TRUE,2026 반기보고서,OK,00126779,삼아알미늄,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,164358486167.0,-5234512652.0,531554458238.0,309991659849.0,221562798389.0,133509686128.0,-5771741491.0,-7569201512.0,23.11,54.24,30.84,-1.61,139.91,-4.73,적자지속,877160390000.0,15123455.0,2026-08-18,-692.24,14650.28,,3.96,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260701,주식등의대량보유상황보고서(약식),1,2026-08-27T18:51:32+09:00
3,✅,085620,미래에셋생명,KOSPI,2026-08-26,"25,950 🔴",77.44,"25,650원~28,700원","31,950원~34,600원","약 ±1,379원 내외 (±6.38%)",1.8,24950.0,12910.0,37300.0,188.92,547012,7460963263,False,True,66.0,"1개월 급등 77.4%; 매수위치 중립 66.4%; 고변동 6.38%; 3개월 변동폭 과대 188.9%; 현재가 급변, 매수·익절 판단 재점검(-10.82%)",92038069345,KRW,FALSE,2026 반기보고서,OK,00112332,미래에셋생명,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,250278892258.0,71362374592.0,34373568964346.0,31949867468928.0,2423701495418.0,244790635055.0,104392561171.0,75475243054.0,2.24,-11.83,-5.45,36.77,1318.23,5.89,흑자지속,2946924000000.0,135180000.0,2026-08-18,1055.81,17929.44,20.65,1.22,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260807,임원ㆍ주요주주특정증권등소유상황보고서,5,2026-08-27T18:51:32+09:00
4,⚠️,003350,한국화장품제조,KOSPI,2026-08-26,"13,420 🔴",74.46,"13,570원~14,270원","14,840원~15,290원",약 ±334원 내외 (±3.79%),1.9,13410.0,6750.0,14940.0,121.33,1525806,21558368007,False,True,55.0,"1개월 급등 74.5%; 3개월 고점권 93.5%; 변동성 적정 3.79%; 3개월 변동폭 과대 121.3%; 현재가 급변, 매수·익절 판단 재점검(-6.87%)",22527562673,KRW,FALSE,2026 반기보고서,OK,00160621,한국화장품제조,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,123409713166.0,18366284747.0,239063829010.0,117162369665.0,121901459345.0,91772316227.0,16825571014.0,13712151864.0,34.47,33.89,33.94,18.25,96.11,30.13,흑자지속,250393000000.0,22660000.0,2026-08-18,1621.03,5379.59,6.82,2.05,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260624,임원ㆍ주요주주특정증권등소유상황보고서,5,2026-08-27T18:51:32+09:00
5,⚠️,014990,인디에프,KOSPI,2026-08-26,"3,025 🔴",73.38,"2,980원~3,200원","3,325원~3,550원",약 ±100원 내외 (±8.10%),2.9,2930.0,,3945.0,,416875,2560191246,True,True,41.0,"1개월 급등 73.4%; 저유동성; 고변동 8.10%; 소형주; 현재가 급변, 매수·익절 판단 재점검(-6.35%)",2779548311,KRW,FALSE,2026 반기보고서,OK,00106881,인디에프,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,52611946279.0,1226609601.0,112378859576.0,72843519716.0,39535339860.0,52225014607.0,730176115.0,-422684722.0,0.74,280.67,390.19,5.28,184.25,6.21,흑자지속,46720282890.0,15022599.0,2026-08-19,163.3,2631.72,19.04,1.18,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260824,주식등의대량보유상황보고서(일반),9,2026-08-27T18:51:32+09:00
6,✅,002990,금호건설,KOSPI,2026-08-26,"15,150 🔴",66.03,"13,410원~15,420원","16,160원~17,440원",약 ±913원 내외 (±9.59%),2.1,12950.0,,19380.0,,9288990,152238964942,False,True,78.0,"1개월 급등 66.0%; 거래대금 우수; 고변동 9.59%; 현재가 급변, 매수·익절 판단 재점검(-3.44%)",28657965170,KRW,FALSE,2026 반기보고서,OK,00106313,금호건설,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,965054635967.0,24376936549.0,1425836411586.0,1143778359528.0,282058052058.0,999239425635.0,21921145030.0,11227383987.0,-3.42,30.73,117.12,2.97,405.51,17.29,흑자지속,583118593100.0,37259974.0,2026-08-20,1308.48,7570.0,11.96,2.07,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-27T18:51:32+09:00
7,⚠️,011090,에넥스,KOSPI,2026-08-26,"2,295",65.35,"2,005원~2,265원","2,385원~2,610원",약 ±118원 내외 (±7.35%),2.5,1946.0,908.0,2800.0,208.37,344971,1906625800,True,True,31.0,1개월 급등 65.3%; 저유동성; 고변동 7.35%; 3개월 변동폭 과대 208.4%; 소형주,-5984007088,KRW,TRUE,2026 반기보고서,OK,00139764,에넥스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,89178670875.0,-6732768976.0,118363795825.0,83723506934.0,34640288891.0,115129367347.0,3174177352.0,2671500326.0,-22.54,-288.52,-352.02,-6.71,241.69,-38.87,적자전환,25966948260.0,11857054.0,2026-08-21,-1135.66,2921.49,,0.75,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260826,[기재정정]주요사항보고서(유상증자결정),15,2026-08-27T18:51:32+09:00
8,⚠️,181710,NHN,KOSPI,2026-08-26,"70,100 🔴",62.84,"59,100원~64,600원","67,900원~73,500원","약 ±2,495원 내외 (±5.40%)",2.2,57800.0,31500.0,78200.0,148.25,119629,21355679091,False,True,63.0,"1개월 급등 62.8%; 변동성 큼 5.40%; 3개월 변동폭 과대 148.2%; 현재가 급변, 매수·익절 판단 재점검(+7.35%)",84156020531,KRW,FALSE,2026 반기보고서,OK,00983271,NHN,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1429315439138.0,60193376928.0,3519410186668.0,1709298807610.0,1810111379058.0,1205016373149.0,49567388388.0,10995676236.0,18.61,69.78,447.43,5.89,94.43,6.65,흑자지속,2309096299500.0,32753139.0,2026-08-18,3675.58,55265.28,19.18,1.28,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260813,임원ㆍ주요주주특정증권등소유상황보고서,5,2026-08-27T18:51:32+09:00
9,⚠️,001770,SHD,KOSPI,2026-08-26,"9,500 🔴",61.68,"8,930원~10,390원","12,050원~13,250원",약 ±665원 내외 (±7.49%),2.4,8590.0,,18630.0,,58573,976670515,True,True,49.0,"1개월 급등 61.7%; 매수위치 중립 56.8%; 저유동성; 고변동 7.49%; 소형주; 현재가 급변, 매수·익절 판단 재점검(-10.29%)",-739139361,KRW,TRUE,2026 반기보고서,OK,00137809,SHD,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,56408337682.0,-533320074.0,86886966247.0,32269499437.0,54617466810.0,56036197177.0,1398983827.0,763791878.0,0.66,-152.83,-169.83,-1.31,59.08,-1.95,적자전환,15343909140.0,1214878.0,2026-08-18,-877.98,44957.16,,0.28,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-27T18:51:32+09:00
10,⚠️,027740,마니커,KOSPI,2026-08-26,"1,520 🟦",57.76,"1,417원~1,520원","1,581원~1,628원",약 ±47원 내외 (±4.08%),2.2,1393.0,913.0,1620.0,77.44,374532,347478327,True,True,45.0,1개월 급등 57.8%; 상단권 88.0%; 저유동성; 3개월 변동폭 유효 77.4%; 소형주; 현재가 보정 적용(-0.98%),-3106807937,KRW,TRUE,2026 반기보고서,OK,00204208,마니커,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,206457153409.0,-4438554669.0,170244822357.0,133128032347.0,37116790010.0,163630110257.0,-1337049326.0,-2475501769.0,26.17,-132.36,-79.3,-1.5,358.67,-23.92,적자지속,42107944164.0,31755614.0,2026-08-24,-279.54,1168.83,,1.13,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-27T18:51:32+09:00
